scale_floor,omega,T,mean_mse,ci95_half_width,median_mse,normalized_error,theorem_bound,bound_satisfied,log_log_slope
1.0,0.010217311978945503,5000,0.3951664687208878,0.005431098732114354,0.39879371592663926,27.236863472737383,45.50895366626292,true,-1.0894221515472735
1.0,0.010217311978945503,20000,0.1410632379422515,0.0041678732334066,0.14134176578623364,28.765208341007757,15.770878182938723,true,-1.0894221515472735
1.0,0.010217311978945503,80000,0.01864169701379867,0.0009596523926592965,0.018381940619334784,11.700497460508167,5.005074752736885,true,-1.0894221515472735
1.0,0.010217311978945503,250000,0.006624802658523459,0.0003200900227001018,0.006566155056725033,10.72075743693207,1.8736148949099867,true,-1.0894221515472735
0.8,0.007979163281841485,5000,0.4000931347619556,0.005459796149689269,0.40383379322690993,27.57643411184218,73.29392647863834,true,-1.0846001427202423
0.8,0.007979163281841485,20000,0.14312053564933394,0.00428629490149096,0.14287825141532615,29.184726551612922,25.266133947204715,true,-1.0846001427202423
0.8,0.007979163281841485,80000,0.01930087348902905,0.0009498900979742519,0.019179613959425447,12.11423085981998,8.15815838840375,true,-1.0846001427202423
0.8,0.007979163281841485,250000,0.006800255873169687,0.00032547121553715114,0.006851630960578213,11.004689118026315,3.0584298633547036,true,-1.0846001427202423
0.6,0.005536699346667326,5000,0.4129086125229145,0.00546965450372841,0.4167091591087517,28.459741390526496,149.59060427474603,true,-1.067534240990234
0.6,0.005536699346667326,20000,0.15368931773917227,0.004514167549876578,0.15301136927867998,31.339882091494744,51.168608796962964,true,-1.067534240990234
0.6,0.005536699346667326,80000,0.02207118449128536,0.0010399845564366304,0.022431516254854067,13.853021959295784,16.729696265864682,true,-1.067534240990234
0.6,0.005536699346667326,250000,0.007378547957910626,0.0003554688430573265,0.007346108036295484,11.940525170475187,6.336547385097185,true,-1.067534240990234
control_constant_step,,5000,0.1200548275617924,0.0049568289835382265,,8.27478343020334,,, -0.005213191766080122
control_constant_step,,20000,0.11936882765432462,0.0050876042205736886,,24.341346810032622,,, -0.005213191766080122
control_constant_step,,80000,0.11575600379388257,0.004527670058326862,,72.65448137186017,,, -0.005213191766080122
control_constant_step,,250000,0.11872668107171745,0.005378771065370981,,192.1325078905171,,, -0.005213191766080122
