rho,tau_0.05,ln_bound_factor,log10_bound_factor
0.5,5,1.4398096508071856,0.6253013863366086
0.6,6,1.953699958593275,0.8484811113116708
0.7,9,2.7980659055530146,1.2151845827832994
0.8,14,4.4724572774891005,1.942363516161557
0.85,19,6.14082312186079,2.666925596168041
0.9,29,9.472239137867838,4.113741188844017
0.925,39,12.801183521848731,5.559483365369739
0.95,59,19.456734294731262,8.449952340059545
0.965,85,28.01232278335832,12.165597210105258
0.975,119,39.4188944247966,17.119408331416018
0.985,199,66.03307638724098,28.677800698074673
0.99,298,99.30016414847469,43.125513341769675
0.995,598,199.1005831237831,86.4682845943787
